country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Bermuda,29,150,15,9,10,5.61,3,2.43,4.24,6.85,6.68,5.16,15.24,20.94,23.71,12.94,6.79,10.46,9.62,8.46,6.63,5.86,3.47,23.5,5.1,6.25,17.62,4.5,69,6.5,3,43.9,2.25,39000,36000,271.65,0.4,142,168.57,50,13.5,1201.6,24666.67,90.75,55,142.5,141.33,3250,2050,6666.67,4325,10381.96,5690.98,5973.81,6.5,1
Bhutan,3.06,18.36,3.06,9.99,2.45,1.32,0.47,0.16,0.83,0.63,0.736666667,1.98,4.9,3.386666667,4.243333333,2.94,1.35,2.33,0.83,0.576666667,0.66,0.49,0.34,3.57,0.8,1.463333333,5.506666667,1.87,15.31,0.98,0.15,5.17,1.11,15300.28,24480.44,33.86,0.04,19.72,71.42,27.74,3.67,43.88,795.61,29.03333333,16.72666667,40.8,48.28,131.43,101.005,177.54,189.785,2843.995,122.4,439.9966667,10.33,0.333333333
Bolivia,2.746,13.736,6.074,2.112,2.516,2,0.838,0.662,0.901666667,1.873333333,0.995,1.698333333,4.838333333,3.063333333,5.203333333,2.156666667,1.148333333,1.436666667,1.098333333,1.205,0.906666667,0.583333333,0.988333333,5.035,1.64,2.296,2.333333333,0.301666667,20.532,1.423333333,1.266666667,5.883333333,0.668333333,14647.2,18994.364,38.67666667,0.225,53.53,39.615,10.82,6.735,135.7983333,1987.421667,32.48166667,35.228,49.69666667,46.665,315.445,191.46,454.6525,330.39,985.3975,724.4025,376.3225,6.72,0.285714286
Bosnia And Herzegovina,4.463076923,22.13846154,3.668461538,1.486923077,1.578461538,1.148461538,1.341538462,0.853076923,0.807692308,0.722307692,1.27,1.836153846,6.22,5.808461538,8.716923077,0.958461538,1.345384615,1.436153846,1.286153846,0.684615385,0.842307692,0.790833333,0.57,5.064615385,0.763846154,0.957692308,3.18,1.183333333,22.871,1.033076923,0.660769231,6.536666667,1.399230769,20902.0625,20180.08583,137.3592308,0.104166667,23.2475,19.65307692,11.44363636,3.414615385,139.9069231,3015.3125,53.93461538,28.31384615,70.07538462,77.80692308,160.565,119.201,280.669,214.737,1224.68,883.818,548.7330769,4.066666667,0.307692308
Botswana,8.97,32.67,4.29,1.356666667,1.536666667,2,1,0.47,1.086666667,0.603333333,1.276666667,1.663333333,6.1,5.216666667,3.693333333,1.803333333,1.243333333,1.626666667,1.25,1.193333333,0.936666667,1.086666667,0.766666667,5.906666667,1.22,1.46,3.51,0.48,21.68,0.486666667,2.31,3.075,0.826666667,15372.65,18038.85,53.99,0.11,32.91,29.825,7.075,6.66,135.085,5072.975,33.70333333,20.53,48.33666667,41.42,204.075,157.09,534.84,376.15,819.555,31706.1,721.4166667,9.96,0.333333333
Brazil,4.715986842,22.29695946,5.674965986,1.471744966,2.444722222,1.399459459,0.927039474,0.540810811,0.910516129,1.242236842,1.097320261,1.716624204,7.3594,3.636184211,7.186013072,1.432857143,0.968263889,0.893469388,1.396492537,0.906621622,0.887619048,0.613129252,0.620536913,6.148145695,1.095986842,2.141156463,2.18358209,0.862377049,37.98476923,1.137297297,0.771764706,5.753586957,1.212287582,18185.76238,23847.63556,71.272,0.269009901,18.01961039,20.94795276,21.74242424,5.363146853,222.8398485,4955.762844,39.82506944,35.85787234,63.45166667,50.20375887,230.2689516,157.3874615,435.0855285,314.4333051,1317.996053,894.785,362.8716949,9.730077519,0.13253012
British Virgin Islands,20,55,15,4,,5,2,1.43,2.2,3.95,6,,18,10,15,4.5,2.5,,7,4,3,,,7.5,5.5,2,2.4,5,0,50,,120,1.14,23000,19500,283.33,0.1,105.67,140,0,10,562.5,18000,85,0,110,140,1833.33,1433.33,4500,3500,,,2150,5.5,0
Brunei,3.095,28.955,5.045,4.73,2.46,3.48,0.73,0.57,1.42,1.63,1.75,2.11,11.165,6.725,14.91,3.81,2.18,4.11,4.63,2.01,2.26,3.67,0.88,1.82,3.75,2.18,8.01,1.27,21.84,3.28,2.185,21.84,0.38,21467.095,21066.975,54.87,0.2,90.375,53.09,13.645,5.1,210.68,11724.38,77.12,34.225,88.25,70.66,690.81,474.445,1157.21,994.69,1419.69,897.92,1606.53,4.24,0.5
Bulgaria,7.685,26.52033333,5.645,1.293666667,1.749,1.292666667,0.999,0.715666667,1.162,0.801724138,1.767586207,1.980689655,7.007241379,5.339285714,7.502962963,1.2872,1.424666667,1.219,1.75037037,0.711666667,0.726,0.748928571,0.521666667,4.7675,0.725666667,1.22,3.05,0.779545455,20.22428571,0.795517241,0.496333333,6.216071429,1.506206897,19457.84556,19374.06,109.5734483,0.151071429,10.833,20.1964,10.854,5.547241379,245.8351852,3315.286923,42.16769231,25.45655172,61.927,58.95444444,232.6836364,167.4104762,393.4604762,297.0647619,872.8809524,618.6736364,652.8864286,3.284666667,0.133333333
Burkina Faso,0.79,23.75,2.06,1.11,0.87,1.58,0.59,0.48,2.11,1.03,0.85,1.9,,6.33,4.13,1.95,1.21,0.93,1.27,1.66,1.13,0.21,0.78,5.54,0.91,1.48,1.58,0.32,14.25,0.48,1.03,6.33,1.03,,,95.01,0.26,35.31,27.71,3.96,1.98,68.62,14588.15,12.67,27.71,31.67,47.5,395.87,164.29,475.05,277.11,262.22,266.87,420.28,8.5,0
