country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Kazakhstan,5.511333333,21.71785714,4.546923077,0.943333333,1.304285714,1.458571429,0.579333333,0.347857143,0.717333333,0.282,0.834285714,1.064,6.207142857,3.267333333,5.232666667,1.156153846,1.298461538,1.457692308,1.369285714,0.440666667,0.345714286,0.693333333,0.414,4.624,0.716666667,1.242857143,1.306923077,0.186,11.48888889,0.921875,0.462,3.176666667,0.395625,16107.99308,21750.58286,44.79466667,0.030833333,10.178,29.40461538,9.456666667,3.773076923,131.7907692,6477.47625,52.44384615,34.46307692,64.91230769,80.45538462,213.2384615,147.0061538,446.2984615,301.5407692,750.4584615,549.5776923,309.4435714,14.675,0.1875
Kenya,2.989285714,20.09571429,5.484166667,2.159230769,2.485,1.760769231,0.441428571,0.376666667,0.610714286,0.446428571,1.078571429,1.475,11.316,5.200769231,4.24,1.539166667,1.081538462,1.58,0.877692308,0.686428571,0.796428571,0.644545455,0.59,7.396923077,1.782307692,2.389166667,1.89,0.74,29.362,2.040833333,0.952222222,2.613,1.045384615,12930.44889,13486.92333,24.26,0.029230769,37.72769231,29.0325,9.78,6.087272727,153.2922222,6411.98,13.70230769,21.55454545,27.81916667,32.27153846,142.4845455,104.1472727,402.611,242.5344444,1479.856667,803.5766667,370.24625,12.39,0.071428571
Kuwait,5.285,42.28,5.69,2.925,2.44,3.965,0.38,0.44,1.4,1.025,1.77,1.875,3.545,3.925,9.155,1.92,1.73,1.625,1.17,1,1.015,1.14,0.42,4.225,2.28,2.265,3.01,1.06,44.315,3.86,2.52,8.945,0.365,20977.59,17047.68,41.47,0.155,24.22,124.39,40.98,11.38,236.835,5149.925,51.525,51.19,94.32,104.4,755.31,537.49,1923.585,1243.165,5852.25,3089.72,2453.305,5.01,0.5
Kyrgyzstan,4.736666667,19.74,3.9,1.42,1.816666667,1.586666667,0.583333333,0.343333333,0.746666667,0.366666667,1.17,1.556666667,6.63,4.58,6.25,0.903333333,1.513333333,1.77,1.386666667,0.476666667,0.356666667,0.33,0.416666667,5.133333333,0.97,1.566666667,1.38,0.18,5.92,0.63,0.193333333,2.37,0.73,17567.89667,19936.60667,34.75,0.036666667,13.31666667,28.335,7.995,3.156666667,138.6666667,9060.3,20.92333333,30.59666667,47.51666667,52.45,298.345,158.115,603.625,332.275,762.51,698.965,252.265,16.83,0.333333333
Laos,2.35,22.035,5,1.015,2.125,2.05,0.735,0.45,2.785,1.515,1.78,1.965,20.94,3.82,11.33,4.865,1.85,2.665,3.09,1.935,1.665,1.74,0.665,17,1.04,1.68,1.845,0.68,5.94,2.5,1.49,5,1.14,59448.31,34793.115,95,0.1,102.02,34.22,22.99,5,,4490.81,93.14,50.63,124.25,44.78,559.01,228.82,1047.7,626.355,2493.1,297.7,312.04,10.12,0
Latvia,7.322,34.17333333,5.548666667,2.217333333,2.075333333,2.102666667,1.030666667,1.261333333,0.993333333,1.041538462,2.042307692,1.904666667,7.818666667,5.492666667,7.846,1.018666667,1.285,1.595714286,2.255714286,0.571428571,0.596923077,1.191,0.668,6.524666667,1.136,1.383,4.468666667,0.820909091,37.04285714,1.625833333,0.675,9.766,1.622666667,18185.66077,19296.55154,221.9866667,0.086666667,15.73733333,35.168,18.24142857,6.435333333,248.8815385,10969.02111,55.34928571,35.96230769,65.62333333,91.76266667,266.0058333,203.1425,414.0125,346.6733333,1013.4525,797.5190909,894.8475,2.527857143,0.133333333
Lebanon,10,42.5,7.683333333,3.318333333,4.47,2.111666667,1.308333333,0.501666667,2.593333333,0.573333333,1.501666667,2.378333333,8.99,8.173333333,20.22666667,1.653333333,1.113333333,1.313333333,1.418333333,1.251666667,0.903333333,0.971666667,0.666666667,9,1.553333333,3.61,3.381666667,1.4775,63.33333333,4.333333333,1.033333333,10.83333333,0.963333333,20333.33333,20221.42833,179.7283333,0.285,58.06,40.8425,20.46666667,8,257.29,4620.37,65.56666667,43.79666667,113.9883333,82.77833333,479.6875,274.5125,1181.945,801.825,1807.1425,919.055,601.79,5.878333333,0.166666667
Lesotho,,23.32,11.66,0.87,1.17,1.46,0.7,0.29,1.04,0.78,1.46,1.3,4.23,2.93,4.98,1.23,1.41,1.76,1.52,1.49,1.32,1.19,0.98,4.39,1.13,0.76,,0.47,,0.5,,17.57,0.83,20492.76,,58.55,0.12,45.38,27.32,2.93,4.39,32.2,702.61,38.06,19.52,48.79,52.5,292.75,173.7,761.16,395.22,,,1171.02,9.5,0
Liberia,12.5,45,10,2.5,3.5,3.67,1.5,2.67,1.4,1.43,3.473333333,5.33,15.22,8.246666667,41.52,16.16,10.18666667,8.413333333,10.60666667,11.24666667,8.48,9.25,1.3,5.666666667,2.333333333,5.466666667,3.333333333,3,17,3.5,0.47,10,1.04,5069.87,14457.43,216.1,0.35,49.87,66.5,5.75,9.75,132.44,1227.33,11.22,26.58,48.33,36.5,1312.5,158.33,2069.33,483,5000,2500,2592,5,0
Libya,3.27,18.406,2.864,0.683,0.58,0.497,0.453,0.209,0.824,0.275,0.809,1.242,4.976,2.989,7.545,1.504,1.005,0.78,0.599,0.648,0.609,0.548,0.25,1.48,0.564,0.674,2.205,0.97,21.08333333,0.92,0.921,3.881,0.033,16254.057,12693.858,32.936,0.029,28.73,18.912,10.94,4.835,44.239,843.371,23.383,27.012,33.931,53.89,145.196,88.134,270.22,163.11,895.645,5327.923333,295.074,15.5,0.166666667
Liechtenstein,24.116,95.978,14.368,5.07,5.684,5.11,4.192,3.35,1.738,3.598,2.11,7.368,14.6,10.256,24.31,2.708,3.91,4.6,4.76,2,2.2,2.04,1,15.85,2.05,2.11,9.51,4.68,75.31333333,1.69,1.09,7.248,1.74,29062.202,33873.786,192.71,0.16,53.54,78.815,29.325,19.02,237.77,12934.89,91.326,43.596,102.786,145.062,1238.74,986.6066667,2413.596667,1949.36,4953.086667,2381.963333,8222.5525,6.516,0
Lithuania,7.501111111,33.81333333,5.924117647,3.317777778,2.873333333,2.428333333,1.435,1.146111111,1.071666667,1.026842105,1.947777778,1.909473684,7.696315789,4.73,8.053157895,0.909444444,1.056315789,1.340555556,2.179411765,0.468235294,0.497647059,1.140588235,0.76,7.025294118,1.114210526,1.3,4.332777778,0.8525,25.91666667,1.017777778,0.638235294,9.741333333,1.620526316,20253.096,20070.185,160.5231579,0.073571429,11.49842105,30.615,18.768,7.48125,365.049,5198.684,67.62933333,40.394,74.17764706,90.83411765,361.8346154,236.3108333,638.4636364,447.625,1759.57,1211.089167,955.006875,2.345384615,0.157894737
Luxembourg,15.675,64.91625,11.685,4.41,3.9575,3.37375,2.685,2.60375,1.24,2.83875,1.56125,3.12625,14.86,11.79,19.86625,2.6075,1.625,2.59,2.72125,1.5525,1.7625,1.53,0.43,7.53,1.8725,2.58875,5.715,0,0,5.685,3.0675,36.35,1.43,25837.57875,25370.515,156.98,0.26,45.2275,45.66,28.435,12.955,839.6125,13725.6825,80.2375,44.44,94.455,130.485,1453.56,1271.366,2286.646,1985.64,9603.196667,7400.396667,3174.572,1.83125,0.125
Madagascar,2.185,13.57,5.185,1.205,1.38,1.0825,0.8475,0.5775,0.6875,0.47,0.6525,1.5725,8.276666667,3.985,4.12,1.24,0.405,0.9075,0.57,0.41,0.6425,0.293333333,0.54,6.133333333,0.8775,1.335,5.29,0.1875,5.9,1.15,1.16,4.6,0.986666667,18686.06,25873.01,42.09,0.05,58.76,29.67,6.52,5.75,203.15,5044.28,35.26,25.3,103.49,68.99,251.06,115.3933333,574.955,269.27,919.93,459.96,154.09,17.5,0.166666667
Malawi,3.693333333,29.55333333,5.173333333,0.833333333,1.623333333,2.22,0.836666667,0.373333333,0.723333333,0.663333333,0.866666667,1.136666667,17.34333333,2.503333333,3.223333333,2.293333333,1.243333333,2.23,1.49,1.033333333,1.26,0.316666667,0.556666667,6.903333333,0.856666667,1.213333333,2.89,0.48,44.19,3.213333333,0.323333333,0.96,1.056666667,26504.04,20721.34,43.37,0.056666667,154.21,22.65,6.265,3.89,191.6866667,6200.34,32.55333333,22.81333333,58.25666667,63.71666667,253.795,124.085,489.925,375.475,10376.75,867.405,409.61,20,0.333333333
Malaysia,2.377692308,15.9944,3.465,3.3596,3.722916667,2.318461538,0.561153846,0.3132,1.483846154,0.794615385,0.9744,1.329615385,11.52583333,3.7604,7.052307692,2.109583333,1.097083333,2.406666667,1.1968,0.7752,0.987692308,0.86125,0.532692308,13.95791667,2.27875,2.946521739,3.8708,0.626842105,18.70466667,0.87,0.59875,4.738181818,0.458076923,33159.08292,26534.8936,45.0844,0.0644,26.42346154,32.80157895,6.573125,3.356666667,140.516,5897.8116,44.2232,23.3556,57.215,55.0416,285.2611765,182.3570588,537.6616667,316.0327778,1448.89,911.1417647,702.1786364,4.0588,0.269230769
Maldives,7.285,26.01,8.94,3.25,7.8,2.51,0.96,0.32,1.355,1.28,1.24,1.345,9.13,2.785,8.03,3.37,3.33,3.49,2.64,1.11,1.1,5.96,0.44,8.78,1.95,14.63,6.5,0.65,21.46,1.63,1.63,8.13,0.93,45513.65,35760.73,158.49,0.06,102.49,74.77,4.23,8.29,154.01,3120.94,31.85,27.63,96.14,82.67,855.01,577.95,1712.18,1350.96,2401.03,2286.52,794.39,13.56,0.5
Mali,4.72,51.68,4.83,2,3,2.88,0.77,0.62,1.91,0.75,0.93,2.46,15.63,5.68,7.69,,1,2.5,3.39,1.02,1.02,0.33,0.91,4.52,1.65,1.84,1.5,4.67,,,,,1.22,50000,40000,267.24,0.21,29.27,63.28,14.53,6,,12000,,25,,125,1000,538.39,1348.09,886.07,,,109.58,12,0
Malta,15.21909091,67.40352941,8.563636364,2.707575758,3.5340625,2.341176471,1.895625,1.335,1.059117647,1.211176471,2.3665625,2.538235294,9.9278125,7.770909091,14.44294118,2.673939394,1.832727273,2.500606061,2.996060606,2.014545455,2.121515152,1.544242424,0.870588235,7.167941176,1.59,2.277878788,5.969090909,1.7768,26.30272727,5.996896552,2.077586207,26.89428571,1.440882353,23857.18677,27383.28161,101.3879412,0.2940625,36.18058824,60.34157895,22.65461538,10.56969697,369.8448387,7915.894444,76.45212121,44.43333333,87.11666667,110.0722581,824.0025,698.7457895,1513.910952,1128.809474,4048.45,3287.081875,1395.95875,4.163030303,0.088235294
Marshall Islands,15.2,44,12,9,4.5,2.58,2,1.5,2.35,2.8,1.6,2.64,17.13,7.25,15,6.9,2,2.42,2,2.42,2,3.16,2,12.5,2,2.63,10,2,100,1.5,1.5,30,1.55,12000,13000,533.33,0.25,71.67,26.67,20,9,,3250,47,45,49.5,63.5,1116.67,850,1716.67,1483.33,,,1050,,0
Martinique,9.87,62.32,10.36,4.93,0.51,3.64,2.25,2.18,1.04,2.35,2.07,3.8,25.92,11.37,25.97,3.25,1.45,1.99,3.8,1.77,1.95,1.41,0.65,5.19,1.47,2.02,10.91,1.51,45.7,,,,1.66,,,103.87,,36.35,31.11,,8.31,31.16,,103.87,,,,571.28,566.39,960.79,804.99,,4154.79,2596.74,,0
Mauritania,5.58,27.01,6.95,2.78,2.78,2.44,3.44,1.65,1.38,0.42,1.28,2.39,8.09,6.36,6.57,2.04,1.88,1.45,0.95,0.73,0.72,0.62,0.71,11.11,2.78,,2.67,0.56,31.33,0.97,0.41,5.6,1.09,56.02,10046.68,101.31,0.95,90.4,43.7,,4.75,105.04,9105.94,22.63,14.71,43.35,21.23,280.67,150.23,643.61,350.35,362.93,226.57,517.4,13,0
Mauritius,6.585,34.36,4.125,1.82,2.82,1.775,0.995,0.555,1.045,0.695,2.195,1.82,10.15,5.185,7.43,2.2,1.545,2.06,2.41,0.885,1.04,0.685,0.56,10.88,1.465,1.695,5.04,0.79,17.23,3.44,2.29,11.45,1.135,23911.8,27215.78,46.01,0.05,32.79,27.49,3.82,6.015,164.28,3459.335,52.235,35.345,72.735,71.02,229.1,190.91,515.46,378.005,412.37,566.37,532.65,4.96,0
Mexico,6.801097561,27.23892857,6.095,1.872592593,3.095822785,2.399638554,0.918795181,0.664939759,1.16,1.801851852,1.378125,1.824197531,6.098101266,5.839113924,9.813974359,2.528227848,1.134125,1.231125,1.314375,1.393544304,1.30278481,0.925263158,0.847160494,9.528181818,1.229873418,2.049240506,3.343414634,0.535526316,19.7209434,1.994096386,1.015921053,8.536623377,1.109642857,17736.40625,18463.52111,55.74730769,0.091216216,27.93857143,31.68407895,13.38985075,3.942409639,191.8715584,3602.953803,42.42925,32.81051948,77.49275,67.42658228,352.8535135,244.7467532,689.3957692,523.4493506,1109.760794,804.7698438,635.3701389,10.8524359,0.218390805
Moldova,2.773333333,31.435,3.452222222,0.936,1.256,0.978,0.676,0.443,0.757,0.371,0.923,1.385,7.133,4.249,5.494,0.637,1.264,1.321,1.269,0.456,0.406,0.855,0.534,2.158,0.765,1.03,2.202,0.216666667,10.4375,0.988,0.17375,1.502222222,1.198,15496.70625,16692.435,75.469,0.08125,8.809,19.53,9.4,3.87,183.2,3597.52625,48.41,30.59375,77.6225,79.38875,172.6875,112.83,297.4375,211.6525,689.53,474.6066667,279.0516667,7.905,0.1
Monaco,25.97,155.8,9.35,7.27,8.31,4.48,4.88,5.77,1.82,3.9,3.29,3.08,14.54,10.39,15.58,1.73,2.08,1.9,3.64,1.56,2.42,1.38,2,13.5,2.08,3.46,10.39,2.08,37.39,3.12,1.77,83.1,1.9,20773.93,21812.63,181.55,,56.78,545.32,20.77,10.39,,16619.15,82.4,32.2,141.96,326.15,5411.9,3462.32,27006.11,10733.2,81018.34,56435.85,5389.1,1.88,0
Mongolia,3.52,17.52,3.933333333,1.223333333,1.683333333,1.58,0.57,0.29,1.01,0.483333333,1.006666667,1.68,5.69,2.993333333,4.21,2.076666667,2.146666667,2.35,2.17,0.376666667,0.963333333,0.85,0.416666667,5.283333333,0.783333333,1.126666667,1.465,0.07,2.666666667,0.293333333,0.293333333,4.26,0.753333333,13697.43,14529.06,52.47,0.02,11.55,35.83333333,7.433333333,2.743333333,104.565,8414.14,31.095,21.77,56.135,58.945,183.6033333,118.3266667,385.0033333,256.8433333,1016.82,669.585,231.145,8.193333333,0.333333333
Montenegro,6.797272727,26.95727273,4.295454545,2.269090909,2.041818182,1.536363636,1.730909091,1,0.936363636,0.657272727,1.354545455,2.061818182,5.658181818,4.875454545,6.75,0.987272727,1.248181818,1.081818182,1.397272727,0.669090909,0.829,0.9625,0.641818182,4.925454545,0.847272727,1.297272727,3.867272727,1.224285714,29.496,1.185454545,0.953636364,6.65875,1.487272727,20046.844,21716.033,97.34818182,0.188181818,25.34909091,30.2025,9.15625,4.482727273,160.88,8327.378571,44.65818182,30.14454545,73.61727273,104.9881818,363.2177778,259.3688889,668.6766667,530.0811111,1851.701111,1283.945,593.7033333,5.084545455,0.181818182
Montserrat,9.25,46.25,5.55,,1.85,,1.85,1.85,3.31,2.24,2.04,4.44,,,,,,,,,1.48,5.55,,11.1,,,2.41,1.11,,7.4,0.19,,,11100.63,18501.05,84.18,0.09,71.04,,,,111.01,,,,129.51,,379.27,314.52,444.03,555.03,,,1665.09,,0
Morocco,2.6675,17.53068966,4.9365625,2.488275862,2.91483871,1.330645161,0.5,0.3125,0.6190625,0.448709677,1.100689655,1.151875,6.735517241,3.816451613,6.9615625,0.9828125,0.9103125,0.49625,0.501875,0.4140625,0.441875,0.313,0.5271875,6.243448276,1.732962963,2.167857143,3.3259375,0.465909091,13.5055,0.6071875,0.581666667,3.681666667,1.1284375,22354.69333,19691.06667,37.94,0.151935484,29.85354839,25.5948,19.24764706,5.107692308,91.06464286,2813.829231,27.25354839,32.32310345,59.10285714,51.55928571,219.8067857,135.6039286,383.2992593,232.4792857,1037.557273,617.7381818,356.942,4.904444444,0.28125
Mozambique,11.43,55.775,4.31,1.046,1.548,1.8925,0.936,0.69,1.564,1.162,1.51,2.092,17.53,4.24,5.73,2.05,0.97,1.3525,1.54,0.988,1.1,0.7525,0.78,14.09,1.032,1.708,2.35,0.23,13.17,3.52,3.91,24.58,1.16,32876.71,24058.71,77.87,0.05,123.68,59.23,27.4,12.52,281.91,4428.11,24.53,70.19,74.36,117.42,729.095,320.04,1259.98,905.895,3247.37,1930.85,260.93,22.8125,0.125
Myanmar,2.94,15,5.41,1.19,1.8,2.05,0.445,0.32,1.32,1.82,1.74,1.175,4.34,5.46,10.16,1.65,0.57,1.98,1.54,1.47,1.92,1.8,0.56,6,1.1,1.78,1.2,6.07,23.88,1.91,0.31,3.58,0.71,,,33.75,0.01,76.88,44.685,,3.425,,3900,,17,128,100,366.525,283.46,801.465,690.33,,51.13,550.56,13,0
Namibia,9.635,35.76,5.18,1.315,1.255,1.605,0.625,0.575,1.18,0.73,1.635,1.945,5.595,4.835,6.875,1.99,1.485,1.45,1.34,1.01,0.715,1.61,0.935,3.94,1.05,1.765,2.66,0.7,22.87,0.84,0.86,4.555,1.2,11675.425,14594.275,82.065,0.05,53.34,38.435,9.64,4.965,124.05,3377.895,53.45,27.455,111.07,56.58,406.815,325.66,865.365,700.525,729.715,510.8,696.875,11.14,0.5
Nauru,10.73,33.53,10.06,5.36,8.05,4.02,1.34,0.84,6.71,2.01,,,,13.41,10.06,13.41,20.12,13.41,,,,,1.68,,,,12.07,,,,,,1.21,,,268.25,,,0,,,,,,,,,1676.56,1676.56,,,,,603.56,,0
Nepal,2.016363636,13.93888889,5.666666667,1.945454545,3.121,1.37,0.42,0.171818182,0.654545455,0.43,0.582727273,1.380909091,6.518181818,2.86,4.088888889,1.777272727,0.766363636,0.965454545,0.522727273,0.413636364,0.545454545,0.216666667,0.236363636,5.17,1.952,2.448888889,1.973636364,0.262857143,8.158333333,2.00375,0.62375,3.295,1.047,30435.70429,40199.84143,22.40625,0.020909091,12.76363636,19.54444444,6.285,2.313636364,34.96181818,1454.836667,16.98,16.93,30.43909091,27.02,77.13375,51.885,161.1825,105.525,1993.8,1004.33,189.54375,11.33777778,0.090909091
Netherlands,16.565,65.35788462,9.014705882,5.0486,4.143653846,3.057924528,2.584230769,2.060384615,1.056851852,1.867169811,2.00245283,2.139074074,10.94944444,8.438888889,23.94415094,2.601320755,1.393148148,1.44754717,2.646153846,1.087307692,0.931730769,0.823461538,0.745471698,5.97245283,1.222075472,1.703076923,8.388679245,3.585384615,108.9381081,4.776938776,2.324693878,31.90510638,2.193269231,27737.99102,27031.16061,225.423,0.1588,43.44811321,32.53880952,19.93882353,11.73980769,1487.663,6454.258085,81.73886792,38.12098039,93.16307692,117.1609615,1099.45,928.59925,1767.1995,1436.326098,4580.763333,3505.161818,3107.147561,2.3712,0.345454545
New Caledonia,17.41,78.34,10.45,7.4,6.96,4.92,2.46,0.94,0.98,1.94,1.58,5.47,12.6,15.45,21.76,3.63,5.65,6.2,4.57,3.37,2.83,3.16,1.11,13.06,2.94,5.22,16.15,2.39,70.37,4.83,1.07,19.91,1.2,25959.08,26402.99,208.76,0.3,58.75,49.61,5.22,10.66,696.34,7398.64,93.57,63.83,85.3,134.92,797.89,618,1410.09,1166.37,4047.49,4163.55,2466.21,2.57,1
New Zealand,14.58695652,65.45125,8.529166667,5.206521739,5.428695652,3.040833333,2.16173913,1.903913043,1.80125,1.84826087,1.927916667,3.93,8.096666667,8.051666667,12.87041667,2.302916667,1.928333333,2.651666667,2.89875,1.9825,1.664583333,2.54625,1.097916667,9.988333333,2.5375,3.10875,22.57304348,2.127894737,71.546875,2.076956522,1.709565217,37.21055556,1.75,23029.02,20741.23591,121.07125,0.238636364,52.29458333,40.004,12.82333333,10.38166667,562.8119048,8719.011765,66.05625,41.88125,94.00708333,106.7208333,839.4015789,635.2294444,1384.428,1110.875714,3403.12875,2936.231765,3225.8955,3.770833333,0.28
Nicaragua,3.954444444,23.55,5.231111111,1.34,2.223333333,1.865555556,0.834444444,0.578888889,0.945555556,1.036666667,1.11,1.757777778,3.503333333,4.37,6.323333333,4.275555556,1.261666667,1.895,1.306666667,1.474444444,1.724444444,0.813333333,0.834444444,7.063333333,1.028571429,1.878571429,2.75625,0.566666667,24.86,0.74875,0.6725,5.81,1.286666667,16835.38667,20710.38667,45.23625,0.278333333,42.00625,18.745,15,4.343333333,94.38333333,4516.5,39.03,34.54777778,53.36111111,54.43222222,203.544,157.074,350.9133333,272.5166667,1102.78,819.435,271.865,14.024,0.1
Niger,3.96,30.38,9.5,1.98,3.17,2.38,1.5,0.85,2.41,0.53,0.91,2.19,15.83,9.64,4.49,3.43,1.27,2.22,1.53,1.06,0.55,0.59,1.21,7.92,1.35,2.11,2.38,0.32,11.88,0.48,0.48,158.35,0.89,0,22831.06,369.48,0.11,11.88,39.59,3.96,3.96,897.31,4750.45,39.59,44.87,39.59,39.59,533.06,353.93,591.9,494.12,237522.54,79174.18,208.49,11,0
Nigeria,1.349375,14.02827586,4.595806452,0.776129032,1.105625,1.687931034,0.346875,0.2446875,2.341111111,0.960645161,2.211666667,1.648387097,3.924736842,3.548275862,3.627586207,3.229259259,1.420740741,0.98137931,1.392962963,1.780357143,1.428518519,0.730909091,0.440645161,4.151935484,0.641785714,0.932692308,0.81826087,0.343684211,18.84272727,1.216315789,1.028,3.121,0.376,14792.77929,25440.57538,18.0012,0.045416667,41.41962963,24.538125,7.061538462,4.894482759,85.86730769,1333.8556,14.58111111,26.11857143,49.6125,57.875,688.1333333,425.9165217,1592.6065,851.6986957,2706.53,3071.747778,134.6766667,16.55277778,0.0625
North Korea,4.27,20.49,3.13,,,1.81,1.68,1.99,0.26,0.55,4.4,1.74,,6.61,11.01,2.2,2.2,2.2,2.2,2.2,2.2,1,0.3,6,,,18.88,0.65,,2,0.5,,1.28,27250,25470,,,,,,18.02,,,27.23,,48.03,,,198.78,,,4700,6400,,,0
Norway,18.518,85.1324,12.2492,9.20125,8.4564,4.3528,3.112,2.7,1.9924,2.7004,2.71,3.7788,11.3064,12.654,27.406,2.924,2.2816,2.8932,3.5132,2.192,2.3056,2.3644,2.0672,14.8828,3.3652,4.416,13.5192,3.776190476,62.076,9.701304348,1.667,51.66428571,2.0748,34525.1487,33503.68435,218.0920833,0.106363636,52.52833333,41.4226087,32.895,13.65304348,331.1921739,6025.147727,83.57875,42.69208333,99.49041667,130.7629167,930.2272727,719.7952381,1587.68,1211.852727,5281.648,3810.169,3211.8185,2.8375,0.28
Oman,4.976666667,26.232,6.425,7.686,8.572,3.986666667,0.785,0.266666667,2.482857143,1.145714286,2.095,3.431428571,8.133333333,4.588571429,7.84,2.122857143,1.987142857,1.761428571,1.497142857,1.672857143,1.224,1.57,0.566666667,28.38285714,4.6925,9.255,5.883333333,1.625,51.94,3.635,0.953333333,10.945,0.593333333,18916.37333,19212.16667,98.806,0.188333333,83.24166667,62.772,20.2625,8.786666667,180.44,5411.034,51.36333333,37.81166667,90.125,71.54333333,394.3033333,296.155,829.3366667,496.5416667,1461.55,740.21,1497.451667,4.253333333,0.142857143
Pakistan,1.188918919,10.32571429,3.333421053,2.170322581,3.455806452,1.129189189,0.208684211,0.161842105,0.520512821,0.424615385,0.731794872,0.919736842,5.384054054,1.982162162,3.161052632,0.82025641,0.463333333,0.608888889,0.506052632,0.267948718,0.290769231,0.269705882,0.282051282,1.469714286,1.128611111,1.699722222,1.007894737,0.178666667,6.485,0.63,0.187297297,1.327777778,0.774736842,11000.36265,14747.18639,50.87578947,0.011578947,21.23529412,10.34538462,4.7612,3.052777778,21.91972222,710.6123529,13.04,17.76594595,37.16027778,25.07459459,72.76291667,45.59695652,171.51,109.8020833,731.4923077,427.1373913,153.6423333,12.82722222,0.230769231
Panama,5.25,32.9,5.9,1.75,3.15,2.63,1.312,1.064,1.518,1.96,1.9425,1.982,7.132,5.28,7.176,2.81,1.188,2.438,2.774,1.682,1.87,1.146,1.5,8.9,1.108,1.586,6.51,0.366666667,29.31,1.4,1.47,17.75,0.878,20700,17211.25,83.54,0.185,38.592,33.32,34.7925,5.116,272.5933333,11675,42.866,37.1,63.556,67.5,606.405,368.1975,946.0525,602.736,1538.6325,1067.706667,750.3625,5.644,0.2
Papua New Guinea,8.83,44.27,8.3425,3.0525,5.2525,2.7825,1.14,0.9325,1.97,1.32,1.3525,3.7125,10.69666667,7.4,8.4275,3.935,2.73,1.87,2.2725,3.693333333,2.9825,3.21,1.165,8.9,2.22,2.95,6.303333333,0.57,38.27,5.68,1.7,14.2,1.28,45429.55,34545.765,93.275,0.315,250.8075,60.34,22.71,9.23,290.6175,5710.6375,32.88666667,27.68666667,81.4525,60.33333333,5076.75,1158.595,3359.89,1047.01,9227.88,20020.03,401.06,13.585,0.2
Paraguay,3.952,21.292,4.288,0.99,1.796,1.586,0.79,0.44,0.76,0.692,0.83,1.608,5.186,3.476,5.444,1.716,0.992,0.906,1.324,0.708,0.736,0.558,0.662,5.4925,0.8975,1.3675,1.5325,0.49,28.945,0.73,1.725,5.926666667,1.04,16415.38,24402.76,55.91,0.18,18.18,23.81666667,16.82,6.22,152.06,2294.7,46.65666667,35.25333333,71.78,66.22333333,309.38,193.095,746.315,477.62,1282.4,703.83,298.1333333,12.14,0.2
Peru,2.862941176,16.57176471,4.517142857,1.710714286,3.303571429,2.252857143,0.649375,0.455625,1.056875,1.259333333,0.913125,1.5475,4.788125,3.744375,5.555,1.1575,0.858,0.905625,0.83375,0.63375,0.683125,0.526875,0.705,6.158666667,1.515625,2.451428571,4.132857143,0.360833333,16.8625,1.5,1.21,5.141428571,1.133333333,17164.81846,18840.59714,47.93066667,0.140714286,27.959375,27.3825,12.58,4.570769231,139.4492857,3685.092727,37.05285714,22.61642857,67.02769231,59.11153846,250.9330769,162.4130769,474.4578571,334.6223077,1704.671818,1070.852222,383.4176923,10.35692308,0.157894737
Philippines,2.933918919,17.11986111,2.788947368,1.301571429,2.071388889,2.121830986,0.643378378,0.380810811,1.68,1.106575342,0.879350649,1.619480519,5.497971014,3.693896104,5.758630137,2.322083333,1.3824,2.096805556,1.39630137,1.551549296,1.744788732,1.365294118,0.677361111,6.333714286,1.052463768,1.655857143,2.451408451,0.290196078,11.09636364,0.705079365,0.3625,2.353275862,1.276029412,24034.70271,19884.31758,97.73864865,0.147101449,38.16815789,30.5527451,5.020588235,4.635633803,165.8730303,4752.51551,35.33549296,22.15985294,65.56943662,56.47144928,261.0466667,158.7229091,629.4747059,340.1468519,1958.065,1059.492059,280.1385455,7.479107143,0.090909091
Poland,6.349365079,27.82225806,5.456349206,2.0665,1.951129032,2.189365079,1.133064516,1.030689655,0.653846154,0.845692308,0.932380952,2.236949153,5.958253968,4.311076923,8.221147541,0.8065625,1.091129032,1.252096774,2.1455,0.583709677,0.698923077,0.803870968,0.430307692,5.01469697,0.740615385,1.0790625,3.936923077,0.7898,21.12421053,1.640377358,0.530327869,8.26625,1.401343284,18146.98839,20850.08,202.6303571,0.057924528,12.17384615,26.50152174,12.90432432,5.3790625,214.4151786,5090.329,56.81611111,28.52491803,59.93870968,69.19459016,431.8102083,361.8831915,666.8415909,560.6051163,2251.0065,1784.215385,896.1853333,5.732307692,0.223880597
